Timestamp,Participant_ID,Phase_ID,Mission_Title,Condition,Phase_Label,Title,Round_Count,Chat_Count,Started_At,Ended_At
2026-06-15T00:44:22.834473,9,text_travel_a_run1_phase_2,文字任務 1,A,Phase 2,大量資訊整理任務,4,1,2026-06-14T16:44:14.310Z,2026-06-14T16:44:22.830Z
2026-06-15T00:44:34.179410,9,text_travel_a_run1_phase_3,文字任務 1,A,Phase 3,突發變更與重新規劃,6,1,2026-06-14T16:44:22.883Z,2026-06-14T16:44:34.135Z
2026-06-15T00:44:35.111759,9,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-14T16:44:34.330Z,2026-06-14T16:44:35.109Z
2026-06-15T00:44:35.803264,9,voice_restaurant_b_run1_phase_1,語音任務 1,B,Phase 1,情境記憶階段,0,1,2026-06-14T16:44:35.210Z,2026-06-14T16:44:35.799Z
2026-06-15T00:44:50.625366,9,voice_restaurant_b_run1_phase_2,語音任務 1,B,Phase 2,語音決策與討論,2,1,2026-06-14T16:44:35.914Z,2026-06-14T16:44:50.621Z
2026-06-15T00:44:54.505691,9,voice_restaurant_b_run1_phase_3,語音任務 1,B,Phase 3,AI 回覆後修正與確認,1,1,2026-06-14T16:44:50.779Z,2026-06-14T16:44:54.501Z
2026-06-15T00:44:55.490961,9,voice_questionnaire_run1,語音任務 1 問卷,,Info,餐廳語音任務問卷,0,0,2026-06-14T16:44:54.647Z,2026-06-14T16:44:55.487Z
2026-06-15T00:44:56.081417,9,end,實驗結束,,Info,完成實驗,0,0,2026-06-14T16:44:55.578Z,2026-06-14T16:44:56.040Z
2026-06-15T00:54:53.509490,9,phase0_baseline,Phase 0｜基準測試,,Phase 0,打字速度與語音節奏基準測試,0,0,2026-06-14T16:53:52.242Z,2026-06-14T16:54:53.188Z
2026-06-15T01:08:35.534529,P_QUAL_TEST_001,phase0_baseline,Phase 0｜基準測試,,Phase 0,打字速度與語音節奏基準測試,0,0,2026-06-14T17:06:49.509Z,2026-06-14T17:08:35.418Z
2026-06-15T01:08:36.353083,P_QUAL_TEST_001,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-14T17:08:35.579Z,2026-06-14T17:08:36.349Z
2026-06-15T01:08:58.781381,P_QUAL_TEST_001,text_travel_b_run1_phase_1,文字任務 1,B,Phase 1,初始旅遊規劃,6,1,2026-06-14T17:08:36.401Z,2026-06-14T17:08:58.777Z
