Timestamp,Subject_ID,Chat_ID,Phase_ID,Scenario,Trigger_Type,Recovery_Time_ms,Migration_Time_ms,Tokens,Rounds,Input_Length
2026-06-14T23:14:40.475219,66,chat_1781450035121_qofqdi,,B,manual,0,0,70,8,6
2026-06-14T23:14:42.539734,66,chat_1781450035121_qofqdi,,B,manual,0,0,78,9,6
2026-06-14T23:14:44.385545,66,chat_1781450035121_qofqdi,,B,manual,0,0,85,10,6
2026-06-14T23:14:48.839932,66,chat_1781450035121_qofqdi,,B,manual,0,0,92,11,6
2026-06-14T23:14:50.546654,66,chat_1781450035121_qofqdi,,B,manual,0,0,100,12,6
2026-06-14T23:14:52.480170,66,chat_1781450035121_qofqdi,,B,manual,0,0,107,13,6
2026-06-14T23:14:54.217093,66,chat_1781450035121_qofqdi,,B,manual,0,0,114,14,6
2026-06-14T23:14:55.966450,66,chat_1781450035121_qofqdi,,B,manual,0,0,121,15,6
2026-06-14T23:14:58.533600,66,chat_1781450035121_qofqdi,,B,manual,0,0,128,16,6
2026-06-14T23:15:23.278596,66,chat_1781450035121_skodac,,B,manual,0,0,35,1,2
2026-06-14T23:15:31.697682,66,chat_1781450035121_skodac,,B,manual,0,0,87,2,2
2026-06-14T23:24:53.430452,66,chat_1781450673586_5zp5b1,,B,manual,0,0,9,1,8
2026-06-14T23:24:59.004851,66,chat_1781450673586_5zp5b1,,B,manual,0,0,18,2,8
2026-06-14T23:25:00.764274,66,chat_1781450673586_5zp5b1,,B,manual,0,0,27,3,8
2026-06-14T23:25:03.177398,66,chat_1781450673586_5zp5b1,,B,manual,0,0,36,4,8
2026-06-14T23:25:04.864801,66,chat_1781450673586_5zp5b1,,B,manual,0,0,45,5,8
2026-06-14T23:25:06.934333,66,chat_1781450673586_5zp5b1,,B,manual,0,0,54,6,8
2026-06-14T23:25:17.793578,66,chat_1781450673586_5zp5b1,,B,manual,0,0,63,7,8
2026-06-14T23:25:20.225152,66,chat_1781450673586_5zp5b1,,B,manual,0,0,72,8,8
2026-06-14T23:25:22.493021,66,chat_1781450673586_5zp5b1,,B,manual,0,0,81,9,8
2026-06-14T23:25:24.851922,66,chat_1781450673586_5zp5b1,,B,manual,0,0,90,10,8
2026-06-14T23:25:27.646277,66,chat_1781450673586_5zp5b1,,B,manual,0,0,99,11,8
2026-06-14T23:25:29.300439,66,chat_1781450673586_5zp5b1,,B,manual,0,0,108,12,8
2026-06-14T23:25:31.043008,66,chat_1781450673586_5zp5b1,,B,manual,0,0,117,13,8
2026-06-14T23:25:32.844603,66,chat_1781450673586_5zp5b1,,B,manual,0,0,126,14,8
2026-06-14T23:25:34.534773,66,chat_1781450673586_5zp5b1,,B,manual,0,0,135,15,8
2026-06-14T23:25:36.536757,66,chat_1781450673586_5zp5b1,,B,manual,0,0,144,16,8
2026-06-14T23:25:41.611563,66,chat_1781450673586_uy6muv,,B,manual,0,0,13,1,8
2026-06-14T23:25:43.973683,66,chat_1781450673586_uy6muv,,B,manual,0,0,22,2,8
2026-06-14T23:50:49.566378,1,chat_1781452232238_cbcauu,,A,manual,0,0,17,1,8
2026-06-14T23:50:51.756976,1,chat_1781452232238_cbcauu,,A,manual,0,0,26,2,8
2026-06-14T23:50:53.364364,1,chat_1781452232238_cbcauu,,A,manual,0,0,35,3,8
2026-06-14T23:50:54.848941,1,chat_1781452232238_cbcauu,,A,manual,0,0,44,4,8
2026-06-14T23:50:56.278827,1,chat_1781452232238_cbcauu,,A,manual,0,0,53,5,8
2026-06-14T23:50:57.851064,1,chat_1781452232238_cbcauu,,A,manual,0,0,62,6,8
2026-06-14T23:50:59.907659,1,chat_1781452232238_cbcauu,,A,manual,0,0,71,7,8
2026-06-14T23:51:01.949078,1,chat_1781452232238_cbcauu,,A,manual,0,0,63,7,8
2026-06-14T23:51:03.269301,1,chat_1781452232238_cbcauu,,A,manual,0,0,63,7,8
2026-06-14T23:51:04.667444,1,chat_1781452232238_cbcauu,,A,manual,0,0,63,7,8
2026-06-14T23:51:07.142948,1,chat_1781452232238_cbcauu,,A,manual,0,0,63,7,8
2026-06-14T23:51:09.424418,1,chat_1781452232238_cbcauu,,A,manual,0,0,63,7,8
